ID,Title,Author,Series,Series Number,Goodreads,Bookwyrm,Formats
"class=""id"">0036","class=""title"">Harry Potter and the Goblet of Fire","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum"">4","class=""goodreads""><a href=""https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/228347/s/harry-potter-and-the-goblet-of-fire"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0037","class=""title"">Harry Potter and the Half-Blood Prince","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum"">6","class=""goodreads""><a href=""https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/5582/s/harry-potter-and-the-half-blood-prince"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0038","class=""title"">Harry Potter and the Order of the Phoenix","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum"">5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/7723/s/harry-potter-and-the-order-of-the-phoenix"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0039","class=""title"">Harry Potter and the Philosopher's Stone","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum"">1","class=""goodreads""><a href=""https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/6055/s/harry-potter-and-the-philosophers-stone"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0040","class=""title"">Harry Potter and the Prisoner of Azkaban","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum"">3","class=""goodreads""><a href=""https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/6203/s/harry-potter-and-the-prisoner-of-azkaban"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0041","class=""title"">Heretics of Dune","class=""author"">Frank Herbert","class=""series""> Dune","class=""sernum"">5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/44492287-heretics-of-dune"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/21513/s/heretics-of-dune-dune-chronicles-book-5"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0042","class=""title"">The Hobbit, or There and Back Again","class=""author"">J.R.R. Tolkien","class=""series""> Middle Earth","class=""sernum"">1","class=""goodreads""><a href=""https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/1165963/s/the-hobbit"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Print"
"class=""id"">0043","class=""title"">Holly","class=""author"">Stephen King","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://bookwyrm.social/book/1373489/s/holly"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://www.goodreads.com/book/show/65916344-holly"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0044","class=""title"">The Hunger Games","class=""author"">Suzanne Collins","class=""series""> The Hunger Games","class=""sernum"">1","class=""goodreads""><a href=""https://www.goodreads.com/book/show/2767052-the-hunger-games"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/16953/s/the-hunger-games"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0045","class=""title"">Hunters of Dune","class=""author"">Frank Herbert","class=""series""> Dune","class=""sernum"">7","class=""goodreads""><a href=""https://www.goodreads.com/book/show/20249.Hunters_of_Dune"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/23974/s/hunters-of-dune"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0046","class=""title"">The Iliad","class=""author"">Homer","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/77265004-the-iliad"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/1225201/s/the-iliad"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0047","class=""title"">In the Buddha's Words","class=""author"">Bhikku Bodhi","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/209576.In_the_Buddha_s_Words"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/114472/s/in-the-buddhas-words"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0048","class=""title"">The Institute","class=""author"">Stephen King","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/43798285-the-institute"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/169218/s/the-institute"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook, Print"
"class=""id"">0049","class=""title"">The Invisible Life of Addie LaRue","class=""author"">V.E. Schwab","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/191867/s/the-invisible-life-of-addie-larue"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0050","class=""title"">It","class=""author"">Stephen King","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/830502.It"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/1682317/s/it"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0051","class=""title"">The Little Sisters of Eluria","class=""author"">Stephen King","class=""series""> The Dark Tower","class=""sernum"">0.5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/6356190-the-little-sisters-of-eluria"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/411445/s/the-little-sisters-of-eluria"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0052","class=""title"">Lord of the Flies","class=""author"">William Golding","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/7624.Lord_of_the_Flies"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/453/s/lord-of-the-flies"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0053","class=""title"">The Martian","class=""author"">Andy Weir","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/18007564-the-martian"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/175316/s/the-martian"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0054","class=""title"">Meditations","class=""author"">Marcus Aurelius","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/233411514-meditations"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/123985/s/meditations"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0055","class=""title"">The Midnight Library","class=""author"">Matt Haig","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/52578297-the-midnight-library"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/668773/s/the-midnight-library"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0056","class=""title"">Moby Dick, or The Whale","class=""author"">Herman Melville","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/789249/s/moby-dick-or-the-whale"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0057","class=""title"">Mockingjay","class=""author"">Suzanne Collins","class=""series""> The Hunger Games","class=""sernum"">3","class=""goodreads""><a href=""https://www.goodreads.com/book/show/7260188-mockingjay"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/16823/s/mockingjay"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0058","class=""title"">Nicomachean Ethics","class=""author"">Aristotle","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/19068.The_Nicomachean_Ethics"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/269588/s/the-nicomachean-ethics"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0059","class=""title"">The Nightjar","class=""author"">Deborah Hewitt","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/43263556-the-nightjar"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/555563/s/the-nightjar"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0060","class=""title"">The Odyssey","class=""author"">Homer","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/1381.The_Odyssey"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/17616/s/the-odyssey"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0061","class=""title"">Peter Nimble and His Fantastic Eyes","class=""author"">Jonathan Auxier","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/10806008-peter-nimble-and-his-fantastic-eyes"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/675591/s/peter-nimble-and-his-fantastic-eyes"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0062","class=""title"">Quidditch through the Ages","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/111450.Quidditch_Through_the_Ages"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/28621/s/quidditch-through-the-ages"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0063","class=""title"">Ready Player One","class=""author"">Ernest Cline","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/9969571-ready-player-one"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/6933/s/ready-player-one"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0064","class=""title"">The Republic","class=""author"">Plato","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/30289.The_Republic"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/146466/s/the-republic"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0065","class=""title"">Return of the King","class=""author"">J.R.R. Tolkien","class=""series""> Middle Earth","class=""sernum"">4","class=""goodreads""><a href=""https://www.goodreads.com/book/show/601137.The_Return_of_the_King"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/110862/s/the-return-of-the-king"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Print"
"class=""id"">0066","class=""title"">The Rookery","class=""author"">Deborah Hewitt","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/51321755-the-rookery"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/1242965/s/the-rookery"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0067","class=""title"">Ruin and Rising","class=""author"">Leigh Bardugo","class=""series""> Shadow and Bone","class=""sernum"">3","class=""goodreads""><a href=""https://www.goodreads.com/book/show/14061957-ruin-and-rising"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/106774/s/ruin-and-rising"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0068","class=""title"">Sandworms of Dune","class=""author"">Frank Herbert","class=""series""> Dune","class=""sernum"">8","class=""goodreads""><a href=""https://www.goodreads.com/book/show/42434.Sandworms_of_Dune"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/129667/s/sandworms-of-dune"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0069","class=""title"">Shadow and Bone","class=""author"">Leigh Bardugo","class=""series""> Shadow and Bone","class=""sernum"">1","class=""goodreads""><a href=""https://www.goodreads.com/book/show/37834723-shadow-and-bone"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/151434/s/shadow-and-bone"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0070","class=""title"">The Shining","class=""author"">Stephen King","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/11588.The_Shining"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/1875747/s/the-shining-the-shining-1"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0071","class=""title"">Siddhartha","class=""author"">Herman Hesse","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/52036.Siddhartha"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/21006/s/siddhartha"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0072","class=""title"">Siege and Storm","class=""author"">Leigh Bardugo","class=""series""> Shadow and Bone","class=""sernum"">2","class=""goodreads""><a href=""https://www.goodreads.com/book/show/14061955-siege-and-storm"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/304238/s/siege-and-storm"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0073","class=""title"">The Silmarillion","class=""author"">J.R.R. Tolkien","class=""series""> Middle Earth","class=""sernum"">0.5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/7332.The_Silmarillion"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/15451/s/the-silmarillion"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Print"
"class=""id"">0074","class=""title"">Song of Susannah","class=""author"">Stephen King","class=""series""> The Dark Tower","class=""sernum"">6","class=""goodreads""><a href=""https://www.goodreads.com/book/show/5093.Song_of_Susannah"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/109381/s/song-of-susannah-the-dark-tower-book-6"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0075","class=""title"">Sophie Quire","class=""author"">Jonathan Auxier","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/24795920-sophie-quire-and-the-last-storyguard"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/942226/s/sophie-quire-and-the-last-storyguard"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0076","class=""title"">A Storm of Swords","class=""author"">George R.R. Martin","class=""series""> ASOIAF","class=""sernum"">3","class=""goodreads""><a href=""https://www.goodreads.com/book/show/62291.A_Storm_of_Swords"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/6984/s/a-storm-of-swords"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0077","class=""title"">The Stranger","class=""author"">Albert Camus","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/49552.The_Stranger"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/4017/s/the-stranger"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
